Ucionica,Pocetak,Kraj,DayOfWeek,Predmet,Profesor,Racunar
RAF1,10/31/2023 09:15,10/31/2023 11:15,Tuesday,UUP,Mladen Jovanovic,DA
RAF2,10/31/2023 09:30,10/31/2023 12:30,Tuesday,SK,Bojana Dimic Surla,NE
RAF3,10/31/2023 10:00,10/31/2023 13:00,Tuesday,UUP,Lazar Dejanovic,DA
RAF4,10/31/2023 10:45,10/31/2023 13:45,Tuesday,VP,Milos Radenkovic,NE
RAF7,10/31/2023 18:00,10/31/2023 20:00,Tuesday,NWP,Stefan Antic,DA
RAF2,10/30/2023 12:30,10/30/2023 15:30,Monday,IS,Igor Ciganovic,DA
RAF4,10/30/2023 13:45,10/30/2023 16:45,Monday,SK,Jefimija Najdic,DA
RAF2,10/30/2023 15:30,10/30/2023 17:30,Monday,UUP,Vanja Matovic,DA
RAF5,09:15,11:00,Monday,MAT,Nikola Petrovic,NE
RAF6,11:15,14:00,Tuesday,PRJ,Ivana Zivkovic,DA
RAF1,14:15,16:00,Wednesday,OOP,Zoran Markovic,NE
RAF3,16:15,18:00,Thursday,WEB,Maja Kostic,DA
